"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RW","T.J. Oshie",5900,"Pit@Was 08:00PM ET",4.571,"Was"
"D","Roman Josi",5900,"Nsh@SJ 10:30PM ET",4.125,"Nsh"
"LW","Filip Forsberg",5800,"Nsh@SJ 10:30PM ET",3.050,"Nsh"
"RW","Patric Hornqvist",5700,"Pit@Was 08:00PM ET",1.750,"Pit"
"RW","Mark Stone",5700,"Cgy@Ott 07:30PM ET",3.688,"Ott"
"C","Sean Monahan",5700,"Cgy@Ott 07:30PM ET",2.222,"Cgy"
"D","Kris Letang",5500,"Pit@Was 08:00PM ET",3.500,"Pit"
"C","Evgeny Kuznetsov",5400,"Pit@Was 08:00PM ET",5.143,"Was"
"D","Shea Weber",5300,"Nsh@SJ 10:30PM ET",2.938,"Nsh"
"RW","Jiri Hudler",5100,"Cgy@Ott 07:30PM ET",3.056,"Cgy"
"C","Joe Thornton",5000,"Nsh@SJ 10:30PM ET",2.938,"SJ"
"RW","Bobby Ryan",5000,"Cgy@Ott 07:30PM ET",2.950,"Ott"
"LW","Mike Hoffman",5000,"Cgy@Ott 07:30PM ET",4.671,"Ott"
"D","Brooks Orpik",4900,"Pit@Was 08:00PM ET",2.357,"Was"
"LW","Chris Kunitz",4900,"Pit@Was 08:00PM ET",1.813,"Pit"
"LW","Pascal Dupuis",4800,"Pit@Was 08:00PM ET",2.000,"Pit"
"D","Dennis Wideman",4700,"Cgy@Ott 07:30PM ET",2.667,"Cgy"
"RW","Craig Smith",4700,"Nsh@SJ 10:30PM ET",2.750,"Nsh"
"C","Marcus Johansson",4600,"Pit@Was 08:00PM ET",2.857,"Was"
"LW","Tomas Hertl",4500,"Nsh@SJ 10:30PM ET",3.063,"SJ"
"C","Mike Fisher",4400,"Nsh@SJ 10:30PM ET",1.563,"Nsh"
"RW","Justin Williams",4400,"Pit@Was 08:00PM ET",3.429,"Was"
"D","Kris Russell",4400,"Cgy@Ott 07:30PM ET",2.500,"Cgy"
"RW","Michael Frolik",4400,"Cgy@Ott 07:30PM ET",2.500,"Cgy"
"C","Mika Zibanejad",4400,"Cgy@Ott 07:30PM ET",3.500,"Ott"
"D","Dougie Hamilton",4400,"Cgy@Ott 07:30PM ET",1.889,"Cgy"
"D","Matt Niskanen",4300,"Pit@Was 08:00PM ET",2.929,"Was"
"LW","David Perron",4200,"Pit@Was 08:00PM ET",1.438,"Pit"
"RW","Joel Ward",4100,"Nsh@SJ 10:30PM ET",3.875,"SJ"
"RW","Tommy Wingels",4000,"Nsh@SJ 10:30PM ET",2.563,"SJ"
"C","Mike Ribeiro",3900,"Nsh@SJ 10:30PM ET",2.188,"Nsh"
"D","Karl Alzner",3900,"Pit@Was 08:00PM ET",1.786,"Was"
"D","Seth Jones",3900,"Nsh@SJ 10:30PM ET",2.625,"Nsh"
"LW","Milan Michalek",3800,"Cgy@Ott 07:30PM ET",2.250,"Ott"
